"Item Code","Item Group","Default Unit of Measure","Has Variants","Maintain Stock","Is Fixed Asset","Asset Category","Brand","Description","End of Life","Shelf Life In Days","Variant Of","Variant Based On","Safety Stock","Lead Time in days","HSN/SAC","Attribute (Variant Attributes)","Attribute Value (Variant Attributes)"
"TAMPING ROAD","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",2,7,90318000,"",""
"SLUM CONE","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",20,7,90318000,"",""
"MOISTURE METER","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"DIGITAL THERMOMETER PROBE TYPE","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"HOT PLATE","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"VICATE NEEDLE APPARATUS","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"DIGITAL DISPLAY WATER HEATER 230VCURING TANK","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"AMMETERS/OHM METER/VOLT METER","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"WIRE GAUGE","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"WATER HEATER COIL 3KW","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"RAIN GAUGE WITH MEASURING GLASS","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"FRAYING PAN","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"PILLOW COVER","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"PILLOW","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"DUST PAN","CONSUMABLE","Nos",0,1,0,"","","","","","","",2,7,68109900,"",""
"TOWEL SMALL","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"TEA CUPS SETS","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,68109900,"",""
"STEEL PLATES","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,72139900,"",""
"GLASS","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,68109900,"",""
"STEEL GLASS COVER","CONSUMABLE","Nos",0,1,0,"","","","","","","",2,7,72139900,"",""
"BOWL","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,68109900,"",""
"RUBBER MAT","CONSUMABLE","Nos",0,1,0,"","","","","","MAT","Item Attribute",1,7,68109900,"Material Type","RUBBER"
"TOILET BRUSH","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"HARPIC","CONSUMABLE","Litre",0,1,0,"","","","2027-12-31 00:00:00",730,"","",1,7,68109900,"",""
"TURN BUCKLE","CONSUMABLE","Nos",0,1,0,"","","","","","","",10,7,68109900,"",""
"ADHESIVE PASTE","CONSUMABLE","Litre",0,1,0,"","","","2026-12-31 00:00:00",365,"","",5,7,68109900,"",""
"AIR FRESHINER DISPENSER","CONSUMABLE","Nos",0,1,0,"","","","2026-12-31 00:00:00",730,"","",1,7,68109900,"",""
"AIR RFESHNER","CONSUMABLE","Nos",0,1,0,"","","","2026-12-31 00:00:00",730,"","",1,7,68109900,"",""
"BATTERIES CELL","CONSUMABLE","Nos",0,1,0,"","","","","","","",3,7,68109900,"",""
"HAND SANITIZER","CONSUMABLE","Litre",0,1,0,"","","","","","","",5,7,68109900,"",""
"PAPER CUPS","CONSUMABLE","Nos",0,1,0,"","","","","","","",50,7,68109900,"",""
"PLANTS CLEANING & SHINNING SPARY","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"PLANTS POTS-","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"PAPER PLATE","CONSUMABLE","Nos",0,1,0,"","","","","","","",20,7,68109900,"",""
"SAFETY PINS","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"SALT","CONSUMABLE","Kg",0,1,0,"","","","","","","",20,7,68109900,"",""
"SIGN BOARD","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"WHITE CEMENT","CONSUMABLE","Bags",0,1,0,"","","","2026-06-30 00:00:00",180,"CEMENT","Item Attribute",50,7,25232100,"Cement Type","WHITE CEMENT"
"CLEANING POWDER/NIRMA POWDER","CONSUMABLE","Kg",0,1,0,"","","","2026-12-31 00:00:00",365,"","",1,7,68109900,"",""
"GLUE","CONSUMABLE","Kg",0,1,0,"","","","","","","",1,7,68109900,"",""
"FEVICOL","CONSUMABLE","Kg",0,1,0,"","","","","","","",1,7,68109900,"",""
"GYPSUM BOARD","CONSUMABLE","Square Foot",0,1,0,"","","","","","","",100,7,68109900,"",""
"CEMENT BOARD","CONSUMABLE","Square Foot",0,1,0,"","","","","","","",100,7,25232100,"",""
"PU FOAM","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,68109900,"",""
"DIESEL","CONSUMABLE","Litre",0,1,0,"","","","","","","",200,7,27101941,"",""
"CURING COMPOUND","CONSUMABLE","Litre",0,1,0,"","","","2026-12-31 00:00:00",365,"","",20,7,68109900,"",""
"MAGNETIC PAINT","CONSUMABLE","Litre",0,1,0,"","","","2028-12-31 00:00:00",1095,"","",20,7,32089099,"",""
"PAINT REMOVER","CONSUMABLE","Litre",0,1,0,"","","","","","","",20,7,32089099,"",""
"LUSTER PAINT","CONSUMABLE","Litre",0,1,0,"","","","2028-12-31 00:00:00",1095,"","",20,7,32089099,"",""
"HESSIAN CLOTH","CONSUMABLE","Meter",0,1,0,"","","","","","","",200,7,68109900,"",""
"GUNNY BAGS","CONSUMABLE","Nos",0,1,0,"","","","","","","",100,7,68109900,"",""
"SPONGE","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,68109900,"",""
"HAND WASH","CONSUMABLE","Litre",0,1,0,"","","","2026-12-31 00:00:00",365,"","",1,7,68109900,"",""
"SEAL TEX BOARD","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"TERRACOTTA","CONSUMABLE","Kg",0,1,0,"","","","","","","",50,7,68109900,"",""
"SHUTTERING GREASE","CONSUMABLE","Kg",0,1,0,"","","","","","","",200,7,68109900,"",""
"SHUTTERING OIL","CONSUMABLE","Litre",0,1,0,"","","","","","","",200,7,68109900,"",""
"ARALDITE","CONSUMABLE","Kg",0,1,0,"","","","2026-12-31 00:00:00",365,"","",5,7,68109900,"",""
"COTTON WEST","CONSUMABLE","Kg",0,1,0,"","","","","","","",5,7,68109900,"",""
"SCRAPER PATTI","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,68109900,"",""
"SS LAB TROWEL","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"GP-2","CONSUMABLE","Bags",0,1,0,"","","","2026-06-30 00:00:00",180,"","",20,7,68109900,"",""
"REBARING CHEMICAL","CONSUMABLE","Kg",0,1,0,"","","","2026-06-30 00:00:00",180,"","",1,7,68109900,"",""
"ADMIXTURE","CONSUMABLE","Kg",0,1,0,"","","","2026-12-31 00:00:00",365,"","",500,7,68109900,"",""
"EPOXY GRAY","CONSUMABLE","Kg",0,1,0,"","","","2026-12-31 00:00:00",365,"","",10,7,39079100,"",""
"BLEACHING POWDER","CONSUMABLE","Kg",0,1,0,"","","","2026-06-30 00:00:00",180,"","",50,7,68109900,"",""
"JOINTING MORTAR","CONSUMABLE","Bags",0,1,0,"","","","2026-06-30 00:00:00",180,"","",100,7,68109900,"",""
"TILE ADHESIVE","CONSUMABLE","Bags",0,1,0,"","","","2026-06-30 00:00:00",180,"","",100,15,68109900,"",""
"GYPSUM POWDER","CONSUMABLE","Bags",0,1,0,"","","","2026-06-30 00:00:00",180,"","",300,7,68109900,"",""
"KIRLOSKAR CARE SUPER GENUINE OIL","CONSUMABLE","Litre",0,1,0,"","","","2027-12-31 00:00:00",730,"ENGINE OIL","Item Attribute",10,7,68109900,"Viscosity Grade","KIRLOSKAR CARE SUPER GENUINE OIL"
"GOOD KNIGHT","CONSUMABLE","Nos",0,1,0,"","","","2026-06-30 00:00:00",180,"","",1,7,68109900,"",""
"UMBRELLA","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"COOLANT","CONSUMABLE","Litre",0,1,0,"","","","2026-12-31 00:00:00",365,"","",5,7,68109900,"",""
"SEAT COVER FOR TRACTOR","CONSUMABLE","Nos",0,1,0,"","","","","","","","",7,68109900,"",""
"HOOD CLOTH FOR TRACTOR","CONSUMABLE","RFT",0,1,0,"","","","","","","","",7,68109900,"",""
"AROSAL GAS CAN FOR FOGGING MACHINE","CONSUMABLE","Nos",0,1,0,"","","","2026-12-31 00:00:00",365,"","",5,7,68109900,"",""
"SILENT CRACKING CHEMICAL","CONSUMABLE","Bags",0,1,0,"","","","2026-06-30 00:00:00",180,"","","",7,68109900,"",""
"DR.FIXIT CONCRETE JOINT BONDING AGENT","CONSUMABLE","Litre",0,1,0,"","","","2026-12-31 00:00:00",365,"DR FIXIT","Item Attribute",1,7,68109900,"Product Type","DR.FIXIT CONCRETE JOINT BONDING AGENT"
"Anabond","CONSUMABLE","Litre",0,1,0,"","","","","","","",1,7,68109900,"",""
"Battery Water","CONSUMABLE","Litre",0,1,0,"","","","2026-06-30 00:00:00",180,"","",6,7,68109900,"",""
"Bond IT 20Ltr","CONSUMABLE","Litre",0,1,0,"","","","2026-06-30 00:00:00",180,"","",10,7,90318000,"",""
"S S SCREW 50X8","HARDWARE","Nos",0,1,0,"","","","","","S S SCREW","Item Attribute","",7,73269099,"Size","50X8"
"LINE DORI","HARDWARE","Roll",0,1,0,"","","","","","","",24,7,73269099,"",""
"KATHA","HARDWARE","Kg",0,1,0,"","","","","","","",20,7,73269099,"",""
"HACKSAW FRAME","HARDWARE","Nos",0,1,0,"","","","","","","",2,7,73269099,"",""
"HACKSAW BLADE","HARDWARE","Nos",0,1,0,"","","","","","","",12,7,73269099,"",""
"MS TACHA","HARDWARE","Nos",0,1,0,"","","","","","","",6,7,90318000,"",""
"MS BELCHA","HARDWARE","Nos",0,1,0,"","","","","","","",6,7,73269099,"",""
"GI WISHER","HARDWARE","Kg",0,1,0,"","","","","","","",2,7,73269099,"",""
"M SEAL","HARDWARE","Kg",0,1,0,"","","","","","","",1,7,73269099,"",""
"MS THAPI","HARDWARE","Nos",0,1,0,"","","","","","","",6,7,73269099,"",""
"MS PICKEX","HARDWARE","Nos",0,1,0,"","","","","","","",3,7,73269099,"",""
"LEVEL TUBE","HARDWARE","Nos",0,1,0,"","","","","","","",6,7,73269099,"",""
"MS J HOOK","HARDWARE","Nos",0,1,0,"","","","","","","",100,7,73269099,"",""
"D HOOK","HARDWARE","Nos",0,1,0,"","","","","","","",100,7,73269099,"",""
"WELD MESH","HARDWARE","Square Foot",0,1,0,"","","","","","","",100,7,73269099,"",""
"SAND MESH (WIRE MESH)","HARDWARE","Square Foot",0,1,0,"","","","","","","",100,7,25051000,"",""
"POLYCARBONDATE ACCSESORIES","HARDWARE","Nos",0,1,0,"","","","","","","",1,7,73269099,"",""
"DOOR MAGNETIC","HARDWARE","Nos",0,1,0,"","","","","","","",12,7,73269099,"",""
"DOOR CLOSURE /PUSHER","HARDWARE","Nos",0,1,0,"","","","","","","",12,7,73269099,"",""
"DOOR STOPPER","HARDWARE","Nos",0,1,0,"","","","","","","",12,7,73269099,"",""
"GARBAGE BAG","HARDWARE","Nos",0,1,0,"","","","","","","",1,7,73269099,"",""
"HAND ROLL TOWEL","HARDWARE","Nos",0,1,0,"","","","","","","",12,7,73269099,"",""
"FAN HOOK","HARDWARE","Nos",0,1,0,"","","","","","","",6,7,73269099,"",""
"SLIICON TUBE","HARDWARE","Nos",0,1,0,"","","","","","","",3,7,73269099,"",""
"HOLE PASS","HARDWARE","Nos",0,1,0,"","","","","","","",12,7,73269099,"",""
"PVC DOOR","HARDWARE","Nos",0,1,0,"","","","","","","",1,7,73269099,"",""
"DAMBAR","HARDWARE","Kg",0,1,0,"","","","","","","",1,7,73269099,"",""
"HAND WIRE BRUSH","HARDWARE","Nos",0,1,0,"","","","","","","",6,7,73269099,"",""
"MS FITTING SWING HOOK","HARDWARE","Nos",0,1,0,"","","","","","","",6,7,73269099,"",""
"STAINLESS STEEL CLEANER","HARDWARE","Nos",0,1,0,"","","","","","","",6,7,72139900,"",""
"STAINS REMOVER SPRAY","HARDWARE","Nos",0,1,0,"","","","2026-12-31 00:00:00",365,"","",6,7,73269099,"",""
"STRAINER","HARDWARE","Litre",0,1,0,"","","","","","","",5,7,73269099,"",""
"FUNNELS","HARDWARE","Nos",0,1,0,"","","","","","","",6,7,73269099,"",""
"LETTER BOXES","HARDWARE","Nos",0,1,0,"","","","","","","",1,7,73269099,"",""
"PVC RUNGS","HARDWARE","Nos",0,1,0,"","","","","","","","",7,73269099,"",""
"WATER PROOF JOINT TAPE","HARDWARE","Nos",0,1,0,"","","","","","","","",7,73269099,"",""
"CAPCIATOR","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"HL BLUB","ELECTRICALS","Nos",0,1,0,"","","","","","","",6,7,85364900,"",""
"FAN BOX","ELECTRICALS","Nos",0,1,0,"","","","","","","",24,7,85364900,"",""
"PVC ROUND PLATE","ELECTRICALS","Nos",0,1,0,"","","","","","PVC ROUND PLATE","Item Attribute",20,7,90318000,"Material Type","PVC"
"DUMMY PLATE","ELECTRICALS","Nos",0,1,0,"","","","","","","",12,7,85364900,"",""
"RJ-45 SOCKET","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"RJ-11 SOCKET","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"FOOT SWITCH","ELECTRICALS","Nos",0,1,0,"","","","","","","",6,7,85364900,"",""
"CONTRACTOR SCHNEIDER LCIE0610-24V","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"EARTHING POWDER","ELECTRICALS","Kg",0,1,0,"","","","2026-12-31 00:00:00",365,"","",20,7,85364900,"",""
"GI EARTHING PIPE","ELECTRICALS","Nos",0,1,0,"","","","","","","",2,7,85364900,"",""
"ENCLOSURE 4W SCHNEIDER","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"DOOR BELL","ELECTRICALS","Nos",0,1,0,"","","","","","","",6,7,85364900,"",""
"TELEPHONE BOX","ELECTRICALS","Nos",0,1,0,"","","","","","","","",7,85364900,"",""
"COPPER CLIP","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"D G PANEL TTAIEC61439","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"LT PANEL MAIN","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"CONDENSER","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"HEATER CONTROL PANEL","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"FLOOR MATT","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"COTTON PACKS","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"COTTON ROPES","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"FOUR HOLE EARTH POINT","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"SINGLE HOLE EARTH POINT","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"COPPER BONDED EARTH ROD","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"EARTH BOSSES","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"COPPER TAPE CLIPS","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"EARTH BAR","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"LIGHT WEIGHT LIGHTENING MAST","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"STREET LIGHT POLE","ELECTRICALS","Nos",0,1,0,"","","","","","","","",7,85364900,"",""
"LED LUMINARIES FOR STREETLIGHT","ELECTRICALS","Nos",0,1,0,"","","","","","","",6,7,85364900,"",""
"SPIKE GUARD","ELECTRICALS","Nos",0,1,0,"","","","","","","",1,7,85364900,"",""
"MS COATED SHEET PANHALA","FABRICATION","Kg",0,1,0,"","","","","","","",500,7,90318000,"",""
"CONFERENCE TABLE","FURNITURE","Nos",0,1,0,"","","","","","OFFICE TABLE","Item Attribute","",7,94036000,"Type","CONFERENCE TABLE"
"EXECUTIVE WHEEL CHAIR","FURNITURE","Nos",0,1,0,"","","","","","","",6,7,94036000,"",""
"PVC CHAIR","FURNITURE","Nos",0,1,0,"","","","","","","",6,7,94036000,"",""
"EXAMINATION TABLE SINGLE","FURNITURE","Nos",0,1,0,"","","","","","OFFICE TABLE","Item Attribute","",7,94036000,"Type","EXAMINATION TABLE SINGLE"
"COMPUTER SET","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"PRINTER SET","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"LAPTOP","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"WHITE BOARD","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"BIO-METRIC ATTENDANCE MACHINE","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"KEYBOARD USB","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"HARD DISK","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"CCTV CAMERA","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"PTZ CAMERA","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"MONITOR","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"OFFICE BELL","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"BATTERY UPS INVERTER","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"UPVC END CAP 15MM DUTRON","PLUMBING","Nos",0,1,0,"","DUTRON","","","","UPVC END PLUG","Item Attribute",6,7,90318000,"Type","CAP"
"","","","","","","","","","","","","","","","","Size","15MM"
"","","","","","","","","","","","","","","","","Brand","DUTRON"
"UPVC END CAP 15MM SUPREME","PLUMBING","Nos",0,1,0,"","SUPREME","","","","UPVC END PLUG","Item Attribute",6,7,90318000,"Type","CAP"
"","","","","","","","","","","","","","","","","Size","15MM"
"","","","","","","","","","","","","","","","","Brand","SUPREME"
